"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 15 12:27:25 GMT 2025","Tue Jul 15 12:27:29 GMT 2025","4362","","ui.HomePageTest","","ui.HomePageTest","homePageTest","homePageTest()",""
"broken","Tue Jul 15 12:15:59 GMT 2025","Tue Jul 15 12:16:29 GMT 2025","29550","","ui.CartTest","","ui.CartTest","addItemToCartViaQuickShopButton","addItemToCartViaQuickShopButton()",""
"passed","Tue Jul 15 12:27:33 GMT 2025","Tue Jul 15 12:27:41 GMT 2025","7882","","ui.RegisterTest","","ui.RegisterTest","newUserRegistrationTest","newUserRegistrationTest()",""
"passed","Tue Jul 15 12:16:29 GMT 2025","Tue Jul 15 12:17:25 GMT 2025","56040","","ui.CartTest","","ui.CartTest","counterTest","counterTest()",""
"broken","Tue Jul 15 12:23:08 GMT 2025","Tue Jul 15 12:25:17 GMT 2025","128165","","ui.CheckoutTest","","ui.CheckoutTest","checkSeveralQuantityItemTest","checkSeveralQuantityItemTest()",""
"passed","Tue Jul 15 12:27:29 GMT 2025","Tue Jul 15 12:27:33 GMT 2025","4309","","ui.HomePageTest","","ui.HomePageTest","isCategoriesTextVisible","isCategoriesTextVisible()",""
"passed","Tue Jul 15 12:14:57 GMT 2025","Tue Jul 15 12:15:59 GMT 2025","62725","","ui.CartTest","","ui.CartTest","editCartItemQuantity","editCartItemQuantity()",""
"passed","Tue Jul 15 12:14:54 GMT 2025","Tue Jul 15 12:14:55 GMT 2025","972","","api.CartTest","","api.CartTest","getCartItemsCountTest","getCartItemsCountTest()",""
"broken","Tue Jul 15 12:25:17 GMT 2025","Tue Jul 15 12:27:25 GMT 2025","128148","","ui.CheckoutTest","","ui.CheckoutTest","checkOneQuantityItemTest","checkOneQuantityItemTest()",""
"passed","Tue Jul 15 12:19:17 GMT 2025","Tue Jul 15 12:20:08 GMT 2025","51185","","ui.CartTest","","ui.CartTest","addItemToCart","addItemToCart()",""
"passed","Tue Jul 15 12:21:10 GMT 2025","Tue Jul 15 12:22:10 GMT 2025","60258","","ui.CheckoutTest","","ui.CheckoutTest","removeItemTest","removeItemTest()",""
"passed","Tue Jul 15 12:22:10 GMT 2025","Tue Jul 15 12:23:08 GMT 2025","58222","","ui.CheckoutTest","","ui.CheckoutTest","checkoutPageTest","checkoutPageTest()",""
"passed","Tue Jul 15 12:14:47 GMT 2025","Tue Jul 15 12:14:53 GMT 2025","5586","","api.CartTest","","api.CartTest","testTotalOrderPriceWithDiscount","testTotalOrderPriceWithDiscount()",""
"passed","Tue Jul 15 12:17:25 GMT 2025","Tue Jul 15 12:18:20 GMT 2025","55255","","ui.CartTest","","ui.CartTest","orderSummaryTest","orderSummaryTest()",""
"passed","Tue Jul 15 12:18:20 GMT 2025","Tue Jul 15 12:19:17 GMT 2025","57047","","ui.CartTest","","ui.CartTest","removeItemFromCartTest","removeItemFromCartTest()",""
"passed","Tue Jul 15 12:14:53 GMT 2025","Tue Jul 15 12:14:54 GMT 2025","1307","","api.CartTest","","api.CartTest","removeAllItemsFromCart","removeAllItemsFromCart()",""
"passed","Tue Jul 15 12:14:55 GMT 2025","Tue Jul 15 12:14:57 GMT 2025","1513","","api.CartTest","","api.CartTest","editCartItems","editCartItems()",""
"passed","Tue Jul 15 12:20:08 GMT 2025","Tue Jul 15 12:21:10 GMT 2025","61505","","ui.CheckoutTest","","ui.CheckoutTest","fillCheckoutDataTest","fillCheckoutDataTest()",""
